word,percent_known,freq,trial_order,rt,accuracy
fecha,98.93162393,126.547999,71,523,1.0
departamento,98.51190476,126.317309,58,996,1.0
color,99.669967,126.119111,32,652,1.0
disco,99.68944099,125.53101399999998,27,1070,1.0
voluntad,99.60552,125.16386,20,625,1.0
comisario,98.90510949,125.157362,74,670,1.0
hija,99.65870307,125.053389,23,971,1.0
espíritu,99.61832061,124.916924,50,553,1.0
red,99.31973,124.296336,92,1155,1.0
poner,99.69789,124.137128,22,714,1.0
dejar,99.33110368,124.111135,49,749,1.0
cara,99.79209979,123.971421,84,554,1.0
aun,83.49206349,123.909687,96,592,1.0
directiva,99.35275081,123.487297,66,781,1.0
prensa,98.95105,123.318341,51,722,1.0
división,98.21428571,123.198123,98,647,1.0
reforma,99.01961,123.051911,96,1465,1.0
allá,99.02912621,121.671021,86,1031,1.0
volver,99.68944,121.632031,55,571,1.0
existencia,98.3277592,121.59629,58,1865,1.0
carta,98.86148008,121.537806,79,570,1.0
llevar,100.0,120.959456,32,889,1.0
llamada,100.0,120.952958,64,781,1.0
lleva,98.89705882,120.852234,99,879,1.0
acceso,98.6013986,120.787251,10,797,1.0
crear,98.7012987,120.423346,8,1230,1.0
realizar,99.66216,120.348616,56,564,1.0
deseo,99.0228013,119.978212,92,547,1.0
lengua,99.79466119,119.438853,38,997,1.0
fuego,99.70014993,119.100941,38,1319,1.0
lista,98.71382637,119.048955,72,778,1.0
período,97.2973,118.733787,8,5523,0.0
pregunta,99.19355,118.63631200000002,61,1065,1.0
banco,99.26199262,118.626565,11,639,1.0
crecimiento,99.61685824,118.516094,54,591,1.0
realmente,99.68553,118.14893899999998,5,746,1.0
hermano,99.39209726,117.736297,29,643,1.0
liga,99.66101695,117.720051,88,603,1.0
copa,99.56709957,117.710304,19,717,1.0
antiguo,99.0990991,117.284665,51,755,1.0
económico,100.0,117.213183,82,650,1.0
especie,98.87218045,117.141702,94,524,1.0
izquierda,98.55371901,116.823285,77,852,1.0
bueno,99.30313589,116.71931200000002,92,442,1.0
cía,59.87654321,116.706316,95,335,0.0
apenas,98.68421053,116.462629,80,522,1.0
teatro,99.40476,116.384649,26,582,1.0
conocimiento,99.53488372,116.111721,71,730,1.0
china,99.37888199,115.689331,72,891,1.0
función,99.35897436,115.611351,91,627,1.0
puerto,99.64664,115.299432,34,754,1.0
local,99.61013645,115.179214,27,571,1.0
referencia,99.35897,114.867295,32,876,1.0
reunión,99.72067,114.782817,56,562,1.0
dicha,98.50746269,114.649602,96,628,1.0
victoria,100.0,114.50339,36,512,1.0
área,99.10979228,114.032263,21,634,1.0
práctica,98.49398,113.587129,51,492,1.0
mantener,98.74214,113.447415,81,689,1.0
motivo,99.35897,113.349941,90,834,1.0
cuarto,98.98167006,113.349941,14,682,1.0
secretario,99.30314,113.26546299999998,9,818,1.0
fuente,99.6978852,113.054268,32,593,1.0
experiencia,99.67105263,112.81708,14,707,1.0
diferencia,99.66101695,112.553898,96,579,1.0
lío,98.56630824,112.521407,66,659,1.0
consecuencia,99.78858351,111.332217,10,897,1.0
asociación,99.3485342,111.16651,74,1505,1.0
oeste,99.61315,110.870837,53,1082,1.0
conseguir,98.92473118,110.838346,9,1268,1.0
tercera,98.78788,110.802605,8,810,1.0
ministerio,99.34641,110.656393,20,772,1.0
ten,85.71429,110.412707,35,952,1.0
marcha,99.16143,109.873347,13,725,1.0
mitad,98.68421,109.681647,42,1034,1.0
entrada,98.97959184,109.548432,0,2009,1.0
prueba,100.0,109.145537,16,817,1.0
salir,99.6633,108.869359,97,577,1.0
asimismo,81.37254902,108.736144,90,1719,1.0
sala,98.40256,108.602929,76,775,1.0
transporte,99.65398,108.317003,35,674,1.0
pie,99.58159,108.265017,97,684,1.0
alemán,99.46332737,107.667173,26,718,1.0
trabajar,98.71383,107.611937,51,919,1.0
régimen,98.95833,107.44948,33,678,1.0
juicio,98.98989899,107.42998500000002,52,607,1.0
gestión,99.05362776,106.952359,83,599,1.0
lejos,98.99665552,106.731417,12,476,1.0
baja,98.71382637,106.503976,94,697,1.0
figura,100.0,106.45199,80,1490,1.0
original,99.69697,106.344768,59,932,1.0
vuelta,99.85141,106.250542,55,776,1.0
ciencia,99.40828402,106.127074,67,587,1.0
solamente,99.27007,106.08158600000002,63,1460,1.0
aspecto,99.6763754,106.016603,17,1476,1.0
cruz,99.57805907,105.88338799999998,78,710,1.0
exterior,99.81096408,105.779415,16,1134,1.0
negro,99.23372,105.776166,49,480,1.0
canción,99.3883792,105.49024,35,539,1.0
viaje,98.9605,105.165325,53,396,1.0
plazo,98.59155,105.158827,84,596,1.0
sangre,99.51923,105.142581,39,565,1.0
ponente,93.7365,104.632464,44,663,1.0
localidad,99.6,104.528491,88,2038,1.0
acto,99.03225806,104.375781,66,580,1.0
conocer,99.35691318,104.154839,12,788,1.0
humano,99.66329966,104.15159,51,551,1.0
radio,98.82583,104.080108,88,610,1.0
género,99.10447761,103.95989,94,846,1.0
supuesto,99.25816,103.660968,35,957,1.0
cielo,99.81515712,103.582988,95,569,1.0
campaña,99.1202346,103.319806,82,665,1.0
competencia,99.65034965,103.19309,20,792,1.0
adelante,100.0,102.88442,35,659,1.0
valencia,98.0198,102.751205,46,620,1.0
viejo,99.60861,102.566003,30,539,1.0
unidad,99.23077,102.497771,6,973,1.0
león,99.31740614,102.42304,50,651,1.0
líder,100.0,102.413293,42,895,1.0
democracia,99.30555556,102.280078,89,806,1.0
estructura,99.65397924,101.96491,28,1629,1.0
solución,99.29825,101.753715,51,748,1.0
garcía,94.17808219,101.737469,54,863,1.0
análisis,99.31506849,101.704978,82,643,1.0
pensar,98.61592,101.445045,54,513,1.0
vivir,99.79424,101.4288,16,1170,1.0
palacio,99.36306,101.295584,94,561,1.0
pequeño,99.22179,101.126628,23,694,1.0
